1.20.100.2        1.10.100.1        300.0
1.20.100.5        1.10.100.4        500.0
1.10.600.5        1.10.500.4        800.0
1.10.600.5        1.10.500.4        800.0
1.10.600.5        1.10.500.4        800.0
1.10.600.5        1.10.500.4        800.0
1.10.600.5        1.10.500.4        800.0
1.10.600.5        1.10.500.4        800.0
1.10.600.5        1.10.500.4        800.0
1.10.600.5        1.10.500.4        800.0
1.10.600.5        1.10.500.4        800.0
1.10.600.5        1.10.500.4        800.0
1.10.600.5        1.10.500.4        800.0
1.10.600.5        1.10.500.4        800.0
1.10.600.5        1.10.500.4        800.0
1.10.600.5        1.10.500.4        800.0
1.10.600.5        1.10.500.4        800.0
1.10.600.5        1.10.500.4        800.0
1.10.600.5        1.10.500.4        800.0
1.10.600.5        1.10.500.4        800.0
1.10.600.5        1.10.500.4        800.0
1.10.600.5        1.10.500.4        800.0
1.10.600.5        1.10.500.4        800.0
1.10.600.5        1.10.500.4        800.0
1.10.600.5        1.10.500.4        800.0
